ethnic_id,ethnic_name
KUR,Kurdish
SCO,Scottish
TMS,Tuareg
BAR,Berber
TWI,Twi
TRN,Trinidadian
CAT,Catalan
SRP,Serbian
PER,Persian
FUL,Fulani
MDI,Mande
NZI,Nzima
ASY,Assyrian
IDG,Indigenous
NGO,Ngoni
PAN,Punjabi
CHM,Cheremis
ARB,Arab
GUJ,Gujarati
WAS,Washo
KAS,Kashmiri
OSA,Osage
LAM,Lamba
PUS,Pashtun
KAM,Kamba
SHN,Shan
RAP,Rapanui
RAJ,Rajasthani
OJI,Ojibwe
LTN,Latin
TIB,Tibetan
GIN,Guinean
TAM,Tamil
MYN,Mayan
MOH,Mohawk
AFA,Afar
BRE,Breton
KAN,Kannada
SLV,Slavic
GUN,Gond
ZHA,Zhuang
SLA,Slavic
PAL,Palestinian
CHR,Cherokee
NEP,Nepali
MAL,Malayalam
RAN,Rundi
SNA,Shona
BAL,Baloch
BAS,Basque
MUN,Munda
NAV,Navajo
DAL,Dalit
MIA,Miami
ZND,Zande
DIV,Divehi
DAK,Dakota
NAG,Naga
CAD,Caddo
AAR,Afar
DON,Doni
QIA,Qiang
TMH,Tamashek
AKA,Akan
PAA,Papuan
AFR,Afrikaner
BAN,Bantu
OSS,Ossetian
FAO,Faroese
ZUL,Zulu
NAI,Native American
HAW,Hawaiian
SEN,Senegalese
TEL,Telugu
MEN,Mende
TGL,Tagalog
HAU,Hausa
FAN,Fang
HUT,Hutu
ZUN,Zuni
VEN,Venetian
KAV,Kavalan
CRE,Cree
HNI,Hani
ADI,Adi
PAG,Pagan
CHY,Cheyenne
IBO,Igbo
BEN,Bengali
SMI,Sami
MUS,Muscogee
IKU,Inuit
YOR,Yoruba
UIG,Uyghur
MIZ,Mizo
DRA,Dravidian
COR,Cornish
MAR,Marathi
TTS,Tatar
MAY,Malay
HAI,Haitian
KHA,Khmer
URD,Urdu
SAL,Salishan
APA,Apache
MAO,Maori
CHE,Chechen
CHN,Chinese
SCN,Sicilian
BOD,Tibetan
