known_group_id,known_group_name
ADB,Asian Development Bank
ICG,International Crisis Group
OPC,OPEC
IMF,International Monetary Fund
EBR,European Bank for Reconstruction and Development
MSF,Médecins Sans Frontières
EFT,European Free Trade Association
WAS,World Anti-Doping Agency
ITP,Interpol
FID,FIFA
EEC,European Economic Community
UNO,United Nations
HRW,Human Rights Watch
SCE,OSCE
AMN,Amnesty International
IOM,International Organization for Migration
GCC,Gulf Cooperation Council
WTO,World Trade Organization
IDB,Inter-American Development Bank
ASN,ASEAN
ALQ,Al-Qaeda
GOS,Greenpeace
COE,Council of Europe
SAD,SADC
GOE,Doctors Without Borders
NAT,NATO
IRC,International Red Cross
TAL,Taliban
ICC,International Criminal Court
WEF,World Economic Forum
XFM,Unknown Armed Group
